img_timestamp,classes,confidences,boxes1607060306.728240,[0 0 0 0 0 0 0 1],[0.99351436 0.9876877  0.9792991  0.97363496 0.9562656  0.92687553 0.9115493  0.9505005 ],[117 121  57 151 116 128  59 138 220 163  27  61 218 162  28  62 457 147   32 109 219 165  28  54 301 178  13  35 114 185  60  98]
1607060310.261509,[0 0 0 0 0 1],[0.99131644 0.9887198  0.974122   0.9575571  0.9330891  0.96071446],[532 110  57 171  77 122  62 144 323 141  45 104 444 150  32  96  76 124   66 127  70 184  75  98]
1607060310.328170,[0 0 0 0 0 1],[0.9908094  0.9899598  0.98167515 0.954126   0.9411579  0.98431337],[534 110  57 172  64 120  67 146 325 141  41 103  65 122  64 131 447 149   33  99  53 182  82 107]
1607060310.394830,[0 0 0 1],[0.9913351  0.9875285  0.9818403  0.92004496],[534 110  60 176  50 118  69 139 324 142  40 104  41 181  83 115]
1607060310.461499,[0 0 0 0 1 1],[0.99124765 0.98959607 0.98011595 0.9320397  0.9681336  0.93040323],[ 35 112  71 142 535 109  58 177 324 142  39 102 324 145  38  94  22 179   92 120 140 190  53  37]
1607060310.528169,[0 0 0 1 1 1],[0.9906088  0.989418   0.98468846 0.9595525  0.9314648  0.929222  ],[536 109  58 178  13 107  78 157 322 144  39  97   4 190  96 115 139 190   54  36 138 191  54  37]
1607060310.594830,[0 0 0 0],[0.99238986 0.9907874  0.98454493 0.9049272 ],[321 146  39  90 541 108  56 182   0 103  78 181 451 152  34  69]
1607060310.661500,[0 0 0 0 1],[0.9919248 0.9885275 0.9833914 0.9669854 0.9283081],[320 146  38  90 542 109  56 181   0  94  62 199 544 111  58 175 137 188   55  39]
1607060310.728169,[0 0 0 0 1],[0.9888439  0.98874754 0.9876738  0.95524365 0.9052352 ],[546 111  57 176 321 149  37  89   0  89  45 211 543 110  56 179 137 189   54  39]
1607060310.794830,[0 0 0 0],[0.9910173  0.9883579  0.95387864 0.943667  ],[548 109  57 180 320 151  36  89 320 153  38  83 548 100  60 195]
1607060310.861500,[0 0 0 1],[0.9898172  0.98527503 0.9378096  0.92049336],[321 150  35  88 551 107  56 182 319 153  38  81 136 189  54  39]
1607060310.928169,[0 0 0 1],[0.9908695  0.98988813 0.91877353 0.9199749 ],[321 151  34  86 553 107  54 187 553  97  57 203 137 190  52  39]
1607060310.994849,[0 0 0 0],[0.9944745  0.9927758  0.91614735 0.90786004],[554 104  54 192 322 151  33  82 460 148  37 104 458 148  37 107]
1607060311.061510,[0 0],[0.99487644 0.9943304 ],[555 102  55 195 324 152  31  82]
1607060311.128220,[0 0 0 0],[0.9932898  0.9928515  0.94759285 0.9378691 ],[556 100  56 198 322 153  32  78 461 148  38 104 460 146  38 110]
1607060311.194880,[0 0 0 0],[0.99438584 0.99325055 0.9438747  0.921417  ],[556  99  56 200 324 154  31  76 322 157  32  71 462 148  38 102]
1607060311.261539,[0 0 0 0],[0.99271566 0.9924513  0.9639199  0.9204198 ],[558  99  56 201 324 155  30  77 463 147  40 109 324 157  31  71]
1607060311.328209,[0 0 0],[0.99312055 0.9915543  0.9589414 ],[324 156  30  75 559  97  57 203 466 145  39 114]
1607060311.394900,[0 0 0 0],[0.9921054  0.9898505  0.96365607 0.9531121 ],[560  96  58 205 326 156  29  75 559 100  56 205 467 147  41 113]
